3,憩園民宿,207新北市萬里區愛二街24號,萬里區
16,海華休閒別墅民宿,207新北市萬里區玉田路52號,萬里區
17,旅途中海畔民宿,252新北市三芝區後厝里土地公坑54之6號3樓,三芝區
19,一畝田民宿,252新北市三芝區茂長里陳厝坑19之2號,三芝區
23,四個孩子民宿,252新北市三芝區茂長里芝柏路85號,三芝區
43,La Casa 嘴嘴的家民宿,252新北市三芝區茂長里觀海街3號,三芝區
50,自然山居民宿,207新北市萬里區員潭路16之9號,萬里區
69,萬金龍溫泉民宿,207新北市萬里區萬里加投45之6號,萬里區
70,萬金文溫泉民宿,207新北市萬里區萬里加投45之7號,萬里區
71,萬金銘珠溫泉民宿,207新北市萬里區萬里加投45之8號,萬里區
73,圓潭溪餐坊休閒民宿,207新北市萬里區員潭路6之2號,萬里區
75,水田園農莊民宿,207新北市萬里區萬里加投45之9號,萬里區
83,藝術之家民宿,252新北市三芝區茂長里迎旭街22號,三芝區
94,虹橋民宿,252新北市三芝區八賢里1鄰八連溪1之5號,三芝區
99,地球人戶外休閒家民宿,228新北市貢寮區福隆街16號,貢寮區
102,百美民宿,228新北市貢寮區福興街6號,貢寮區
112,牧羊女藝術民宿,252新北市三芝區後厝里北勢子45之15號2樓,三芝區
115,杉夏民宿,252新北市三芝區古庄里5鄰四棧橋36之1號,三芝區
117,塔卡的家民宿,252新北市三芝區芝柏五街18號,三芝區
119,尚登意民宿,207新北市萬里區萬里加投68之5號,萬里區
123,18個孩子民宿,252新北市三芝區芝柏路97號,三芝區
129,大坪山莊民宿,207新北市萬里區雙興里坑頭6號,萬里區
141,萬里情懷民宿,207新北市萬里區萬里加投16之1號,萬里區
146,可洛可呆民宿,252新北市三芝區茂長里9鄰聽濤街5號,三芝區
147,美術行館民宿,252新北市三芝區茂長里芝柏路38號,三芝區
151,淺水灣小旅店民宿,252新北市三芝區後厝里北勢子45之12號,三芝區
152,一間屋民宿,228新北市貢寮區福隆街2巷1之2號,貢寮區
159,快樂天堂海景民宿,252新北市三芝區後厝里北勢子4之20號,三芝區
160,5熊的家民宿,252新北市三芝區茂長里芝柏一街3之1號,三芝區
167,緹閣休閒民宿,207新北市萬里區員潭路54號,萬里區
168,三芝小白屋花園民宿,252新北市三芝區芝柏路35號,三芝區
169,櫻花村民宿,252新北市三芝區聽濤街23號,三芝區
172,迎旭知旅民宿,252新北市三芝區迎旭街55號,三芝區
177,幸福王國溫馨民宿,252新北市三芝區茂長里觀海街2號,三芝區
189,海霞您的家,228新北市貢寮區仁愛路38號,貢寮區
191,逸閒居民宿,228新北市貢寮區福連街38號,貢寮區
208,隨喻而安民宿,252新北市三芝區晴光街11號,三芝區
218,南瓜大叔民宿,252新北市三芝區迎旭街38號,三芝區
234,日皇民宿,207新北市萬里區萬里加投35之3號,萬里區
240,海洋之家民宿,207新北市萬里區港東路9號,萬里區
246,澳底灣民宿,228新北市貢寮區新港街31巷2號,貢寮區
247,龍崗莊園,228新北市貢寮區龍崗里嵩陽街46號,貢寮區
250,萬里雲頂民宿,207新北市萬里區太和7之10號,萬里區
264,巴拉卡民宿,252新北市三芝區車埕18之3號,三芝區
266,新芝蘭民宿,252新北市三芝區蕃社后41之5號,三芝區
