C001,false,true,1600,8594
C002,false,true,800,3336
C003,false,true,700,2720
C004,false,true,550,1904
C005,false,true,500,1632
C006,false,true,470,1500
C007,false,true,330,886
C008,false,true,250,644
C009,false,true,120,252
C010,false,true,55,115
C011,false,false,1600,7211
C012,false,false,800,3336
C013,false,false,700,2720
C014,false,false,550,1904
C015,false,false,500,1632
C016,false,false,470,1500
C017,false,false,330,886
C018,false,false,250,644
C019,false,false,120,252
C020,false,false,55,115
B001,true,true,1600,11372
B002,true,true,800,3498
B003,true,true,700,2950
B004,true,true,550,2257
B005,true,true,500,2026
B006,true,true,470,1887
B007,true,true,330,1240
B008,true,true,250,940
B009,true,true,120,451
B010,true,true,55,206
B011,true,false,1600,8992
B012,true,false,800,2789
B013,true,false,700,2358
B014,true,false,550,1806
B015,true,false,500,1622
B016,true,false,470,1511
B017,true,false,330,996
B018,true,false,250,755
B019,true,false,120,362
B020,true,false,55,166
